Project,DefectId,StatementCoverage
Time,21,100.0%
Time,22,100.0%
Time,23,93.5%
Time,24,88.7%
Time,25,93.5%
Time,26,84.2%
Time,27,87.1%
Project,DefectId,StatementCoverage
Closure,4,91.7%
Closure,5,98.8%
Closure,6,93.8%
Closure,7,72.8%
Closure,8,100.0%
Closure,9,97.8%
Closure,10,93.7%
Closure,11,97.7%
Closure,12,97.6%
Closure,13,98.8%
Closure,14,98.4%
Closure,15,95.4%
Closure,16,98.4%
Closure,17,85.6%
Closure,18,73.2%
Closure,19,71.4%
Closure,20,98.8%
Project,DefectId,StatementCoverage
Math,11,82.5%
Math,12,39.6%
Math,13,75.6%
Math,14,89.8%
Math,15,97.8%
Math,16,97.8%
Math,17,90.8%
Math,18,90.1%
Math,19,90.0%
Math,20,89.7%
Math,21,96.2%
Math,22,97.6%
Math,23,94.7%
Math,24,90.4%
Math,25,98.9%
Project,DefectId,StatementCoverage
Math,26,97.6%
Math,27,97.6%
Math,28,100.0%
Math,29,94.4%
Math,30,91.2%
Math,31,85.7%
Math,32,72.8%
Math,33,96.3%
Math,34,82.6%
Math,35,100.0%
Math,36,94.6%
Math,37,94.4%
Math,38,87.7%
Math,39,100.0%
Math,40,99.2%
Math,41,91.1%
Math,42,96.3%
Math,43,79.0%
Math,44,96.5%
Math,45,81.2%
Math,46,93.9%
Math,47,93.8%
Math,48,95.9%
Math,49,84.9%
Math,50,96.0%
Math,51,97.2%
Math,52,100.0%
Math,53,96.1%
Math,54,90.2%
Math,55,93.0%
Math,56,86.7%
Math,57,96.7%
Math,58,65.2%
Project,DefectId,StatementCoverage
Project,DefectId,StatementCoverage
Math,60,82.6%
Math,61,87.5%
Math,62,66.7%
Math,63,91.2%
Math,64,98.2%
Math,65,94.5%
Math,66,97.0%
Math,67,73.3%
Math,68,98.2%
Math,69,98.6%
Math,70,91.3%
Math,71,100.0%
Math,72,93.1%
Math,73,92.0%
Math,74,99.2%
Project,DefectId,StatementCoverage
Project,DefectId,StatementCoverage
Math,75,87.0%
Math,76,96.0%
Math,77,59.8%
Math,78,84.1%
Math,79,99.5%
Math,80,93.0%
Math,81,89.3%
Math,82,96.7%
Math,83,91.9%
Math,84,100.0%
Math,85,93.9%
Project,DefectId,StatementCoverage
Math,86,97.3%
Math,87,92.4%
Math,88,92.4%
Math,89,99.1%
Math,90,99.1%
Math,91,96.6%
Math,92,93.0%
Math,93,92.8%
Math,94,92.8%
Math,95,100.0%
Math,96,97.7%
Math,97,93.0%
Math,98,86.0%
Math,99,98.9%
Math,100,100.0%
Math,101,85.7%
Math,102,91.7%
Math,103,97.2%
Math,104,93.5%
Math,105,100.0%
Math,106,84.2%
Project,DefectId,StatementCoverage
Project,DefectId,StatementCoverage
Math,59,87.0%
Project,DefectId,StatementCoverage
Closure,21,97.4%
Closure,22,97.6%
Closure,23,89.3%
Closure,24,98.8%
Closure,25,97.9%
Closure,26,87.4%
Closure,27,66.5%
Project,DefectId,StatementCoverage
Closure,28,92.3%
Closure,29,98.7%
Closure,30,96.8%
Closure,31,72.3%
Closure,32,93.8%
Closure,33,98.0%
Closure,34,93.2%
Closure,35,98.1%
Closure,36,98.3%
Closure,37,92.6%
Closure,38,95.4%
Closure,39,97.9%
Closure,40,87.4%
Closure,41,94.6%
Closure,42,93.0%
Closure,43,85.9%
Closure,44,95.3%
Closure,45,98.6%
Closure,46,97.9%
Closure,47,78.0%
Closure,48,86.7%
Closure,49,99.5%
Closure,50,94.5%
Closure,51,94.3%
Closure,52,93.5%
Closure,53,98.7%
Closure,54,86.8%
Closure,55,97.9%
Closure,56,48.6%
Closure,57,99.2%
Closure,58,98.0%
Closure,59,45.9%
Closure,60,93.6%
Closure,61,93.7%
Closure,62,100.0%
Closure,63,100.0%
Closure,64,45.0%
Closure,65,93.5%
Closure,66,96.5%
Closure,67,95.9%
Closure,68,94.0%
Closure,69,96.5%
Closure,70,88.6%
Closure,71,96.6%
Closure,72,97.1%
Closure,73,93.4%
Closure,74,91.7%
Closure,75,93.8%
Closure,76,94.9%
Closure,77,92.2%
Closure,78,90.9%
Closure,79,95.8%
Closure,80,94.3%
Closure,81,80.7%
Closure,82,96.2%
Closure,83,77.4%
Closure,84,79.7%
Closure,85,90.4%
Closure,86,92.5%
Closure,87,97.8%
Closure,88,97.5%
Closure,89,96.4%
Closure,90,92.4%
Closure,91,100.0%
Closure,92,98.3%
Closure,93,98.3%
Closure,94,92.9%
Closure,95,87.1%
Closure,96,96.4%
Closure,97,86.0%
Closure,98,97.4%
Closure,99,97.7%
Closure,100,97.6%
Closure,101,66.1%
Closure,102,96.6%
Closure,103,95.5%
Closure,104,91.4%
Closure,105,65.0%
Closure,106,77.2%
Closure,107,72.9%
Closure,108,98.8%
Closure,109,94.3%
Closure,110,88.9%
Project,DefectId,StatementCoverage
Closure,111,97.3%
Closure,112,98.2%
Closure,113,98.2%
Closure,114,88.1%
Closure,115,96.6%
Closure,116,96.5%
Closure,117,93.8%
Project,DefectId,StatementCoverage
Closure,118,90.8%
Closure,119,87.9%
Closure,120,95.4%
Closure,121,98.0%
Closure,122,93.5%
Closure,123,96.1%
Closure,124,100.0%
Closure,125,92.6%
Closure,126,95.0%
Closure,127,93.5%
Closure,128,96.0%
Closure,129,84.8%
Closure,130,98.5%
Closure,131,53.2%
Closure,132,98.8%
Closure,133,94.0%
