@relation lang_results

@attribute Abstractness {'8.6\%','8.7\%','8.4\%','8.8\%','8.3\%','8.2\%','7.6\%','7.7\%','7.3\%','6.3\%','6.5\%','6.6\%','7\%','9.4\%','9.5\%','9.2\%','9.3\%','9.6\%','9.7\%'}
@attribute 'Average Block Depth' numeric
@attribute 'Average Cyclomatic Complexity' numeric
@attribute 'Average Number of Methods Per Type' numeric
@attribute 'Efferent Couplings' numeric
@attribute 'Lines of Code' {'59,736','59,595','59,514','59,464','59,141','58,904','58,882','56,012','56,033','56,037','54,428','54,251','53,182','52,634','49,905','49,898','49,647','49,637','48,908','48,891','49,633','49,542','49,509','48,510','48,338','46,909','46,870','46,468','46,300','45,445','45,444','45,457','44,539','44,484','45,319','45,300','45,143','45,570','45,330','52,221','52,225','51,853','51,794','49,570','50,474','49,634','49,143','48,526','47,351','47,345','47,242','47,006','47,016','46,833','46,826','46,791','46,723','46,647','46,641','46,612','46,332','46,104','45,609'}
@attribute 'Number of Methods' {'4,883','4,876','4,871','4,867','4,841','4,819','4,816','4,688','4,687','4,601','4,599','4,475','4,447','4,221','4,220','4,198','4,197','4,119','4,124','4,151','4,145','4,138','4,035','4,019','3,938','3,934','3,890','3,875','3,783','3,726','3,695','3,867','3,866','3,854','3,914','3,889','4,729','4,728','4,700','4,696','4,544','4,655','4,556','4,513','4,448','4,339','4,328','4,307','4,251','4,250','4,248','4,244','4,239','4,238','4,236','4,218','4,161'}
@attribute 'Number of Packages' numeric
@attribute 'Weighted Methods' {'10,076','10,054','10,034','10,030','9,971','9,931','9,943','9,482','9,500','9,501','9,456','9,469','9,252','9,279','8,943','8,941','8,942','8,835','8,846','8,988','8,980','8,973','8,834','8,817','8,606','8,599','8,526','8,504','8,351','8,350','8,204','8,198','8,368','8,364','8,332','8,477','8,420','9,944','9,912','9,896','9,496','9,675','9,485','9,388','9,262','9,029','9,028','9,008','8,970','8,969','8,939','8,938','8,935','8,921','8,906','8,905','8,901','8,795','8,703'}

@data
'7.7\%',1.3,2.02,10.74,302,'48,338','4,019',32,'8,817'
'7.3\%',1.31,2.02,11.61,283,'46,909','3,938',30,'8,606'
'7.3\%',1.31,2.02,11.63,282,'46,870','3,934',30,'8,599'
'6.3\%',1.31,2.02,11.78,278,'46,468','3,890',30,'8,526'
'6.3\%',1.31,2.02,11.74,278,'46,300','3,875',30,'8,504'
'6.5\%',1.31,2.04,11.82,268,'45,445','3,783',30,'8,351'
'6.5\%',1.31,2.04,11.82,268,'45,444','3,783',30,'8,350'
'6.5\%',1.31,2.04,11.82,268,'45,457','3,783',30,'8,350'
'6.5\%',1.31,2.03,11.64,267,'44,539','3,726',30,'8,204'
'6.6\%',1.32,2.04,11.69,264,'44,484','3,695',30,'8,198'
'6.6\%',1.31,2,12.23,264,'45,319','3,867',30,'8,368'
'6.6\%',1.31,2,12.23,264,'45,300','3,866',30,'8,364'
'6.6\%',1.31,2,12.19,264,'45,143','3,854',30,'8,332'
'7\%',1.3,2,12.54,260,'45,570','3,914',30,'8,477'
'7\%',1.3,2,12.5,260,'45,330','3,889',30,'8,420'
'9.4\%',1.27,1.91,11.17,320,'52,221','4,729',30,'9,944'
'9.4\%',1.27,1.91,11.17,320,'52,225','4,728',30,'9,943'
'9.4\%',1.27,1.91,11.13,319,'51,853','4,700',30,'9,912'
'9.5\%',1.27,1.91,11.15,318,'51,794','4,696',30,'9,896'
'9.2\%',1.27,1.9,11.38,301,'49,570','4,544',27,'9,496'
'9.4\%',1.26,1.89,10.5,340,'50,474','4,655',27,'9,675'
'9.5\%',1.27,1.89,10.3,339,'49,634','4,556',27,'9,485'
'9.5\%',1.26,1.88,10.25,337,'49,143','4,513',27,'9,388'
'9.5\%',1.26,1.88,10.9,307,'48,526','4,448',27,'9,262'
'9.3\%',1.26,1.88,11.21,289,'47,351','4,339',27,'9,029'
'9.3\%',1.26,1.88,11.21,289,'47,345','4,339',27,'9,028'
'9.3\%',1.26,1.88,11.18,289,'47,242','4,328',27,'9,008'
'9.3\%',1.26,1.89,11.15,288,'47,006','4,307',27,'8,970'
'9.3\%',1.26,1.89,11.15,288,'47,016','4,307',27,'8,969'
'9.5\%',1.27,1.9,11.27,287,'46,833','4,251',27,'8,939'
'9.5\%',1.27,1.9,11.27,287,'46,826','4,250',27,'8,938'
'9.5\%',1.27,1.9,11.26,287,'46,791','4,248',27,'8,935'
'9.5\%',1.27,1.9,11.25,287,'46,723','4,244',27,'8,921'
'9.5\%',1.27,1.9,11.24,287,'46,647','4,239',27,'8,906'
'9.5\%',1.27,1.9,11.24,287,'46,641','4,238',27,'8,905'
'9.5\%',1.27,1.9,11.23,287,'46,612','4,236',27,'8,901'
'9.5\%',1.27,1.89,11.18,287,'46,332','4,218',27,'8,835'
'9.6\%',1.27,1.89,11.22,288,'46,104','4,198',27,'8,795'
'9.7\%',1.26,1.89,11.3,285,'45,609','4,161',27,'8,703'
